Diện Tích,Giá,Hướng ban công,Hướng nhà,Mặt tiền,Pháp lý,Số phòng ngủ,Số toilet,Số tầng,Đường vào,Địa chỉ
144 m2,270 tỷ,None,None,8 m,Sổ đỏ chính chủ,None,None,3 tầng,35 m,None

138 m2,6.5 tỷ,None,None,None,None,3 phòng,None,None,None,None

180 m2,95 tỷ,None,None,9 m,Sổ đỏ chính chủ,None,None,None,None,None

55 m2,10 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

33 m2,12.5 tỷ,Đông - Nam,Đông - Nam,None,Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,4 tầng,10 m,None

144 m2,96 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

56 m2,9.5 tỷ,Bắc,Nam,None,Đã được phê duyệt quyết định đầu tư.,1 phòng,1 phòng,None,None,None

125 m2,52 tỷ,Tây - Bắc,Tây - Bắc,6 m,CÓ SỔ HỒNG,3 phòng,3 phòng,2 tầng,20 m,None

51.23 m2,8.76 tỷ,None,None,None,None,1 phòng,None,None,None,None

51.23 m2,8.76 tỷ,None,None,None,None,1 phòng,None,None,None,None

90 m2,23 tỷ,None,None,None,None,2 phòng,None,None,None,"The MarQ , 29B, Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Hồ Chí Minh"

31 m2,3.29 tỷ,None,None,4 m,None,2 phòng,2 phòng,2 tầng,4 m,None

68 m2,45 tỷ,None,None,None,Đã có sổ,None,None,2 tầng,None,None

105.8 m2,35 tỷ,None,None,5.12 m,Sổ đỏ/ Sổ hồng,15 phòng,16 phòng,7 tầng,7 m,None

128 m2,42 tỷ,None,None,None,None,None,None,3 tầng,None,None

103.5 m2,42.5 tỷ,None,None,None,None,None,5 phòng,5 tầng,None,None

76 m2,20 tỷ,None,None,None,None,None,None,3 tầng,None,None

100 m2,25 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,"Đường Nguyễn Trãi, Quận 1, Hồ Chí Minh"

137.7 m2,31 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,5 phòng,5 phòng,4 tầng,None,None

187 m2,145 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

58 m2,33 tỷ,None,None,None,Có sổ,None,None,None,None,None

72 m2,35.5 tỷ,None,None,None,None,None,None,None,None,"Phố Hai Bà Trưng, Phường Bến Nghé, Quận 1, Hồ Chí Minh"

160 m2,96.8 tỷ,None,None,None,None,None,None,7 tầng,None,None

104 m2,118 tỷ,None,None,None,Có sổ,None,None,None,None,None

86 m2,29 tỷ,None,None,None,None,None,None,None,None,"Đường Lê Thánh Tôn, Phường Bến Thành, Quận 1, Hồ Chí Minh"

120 m2,42 tỷ,None,None,None,Có sổ,None,None,6 tầng,None,None

100 m2,42 tỷ,None,None,None,None,None,None,None,None,"Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh"

79 m2,40 tỷ,None,None,None,None,None,None,8 tầng,None,None

72 m2,39 tỷ,None,None,None,None,None,None,None,None,"Phố Hai Bà Trưng, Phường Đa Kao, Quận 1, Hồ Chí Minh"

80.02 m2,78 tỷ,None,None,None,None,None,None,8 tầng,None,None

135 m2,35 tỷ,None,None,None,None,None,None,None,None,"Phố Hai Bà Trưng, Phường Tân Định, Quận 1, Hồ Chí Minh"

54 m2,5 tỷ,None,Đông - Nam,None,None,1 phòng,None,None,None,None

140 m2,36 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,6 tầng,None,None

128 m2,105 tỷ,None,None,None,None,5 phòng,None,2 tầng,None,None

60 m2,36 tỷ,None,None,5 m,Đã có sổ.,10 phòng,7 phòng,7 tầng,12 m,None

70 m2,35.9 tỷ,None,None,6 m,Đã có sổ,6 phòng,6 phòng,5 tầng,40 m,None

175 m2,80 tỷ,None,None,None,None,None,None,None,None,None

180 m2,120 tỷ,None,None,None,None,None,None,None,None,None

88 m2,12.5 tỷ,None,None,None,None,3 phòng,None,None,None,None

70 m2,7 tỷ,None,None,None,None,2 phòng,None,None,None,None

437.5 m2,409.5 tỷ,None,None,None,None,2 phòng,None,None,None,None

Địa m2,180 tỷ,None,None,None,Hợp đồng mua bán,2 phòng,2 phòng,None,None,"Lancaster Nguyễn Trãi, 230, Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh"

73 m2,12 tỷ,None,None,None,Đang chờ sổ,2 phòng,2 phòng,None,None,None

85.6 m2,13 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

70 m2,29 tỷ,None,None,5.2 m,None,None,None,5 tầng,None,None

56 m2,16.7 tỷ,None,None,None,None,None,None,None,None,"Đường Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, Hồ Chí Minh"

70 m2,35 tỷ,None,None,None,None,5 phòng,4 phòng,5 tầng,None,None

73 m2,15 tỷ,Tây - Nam,Tây - Nam,None,Sổ đỏ/ Sổ hồng,8 phòng,None,5 tầng,None,None

84 m2,16 tỷ,Tây - Nam,Tây - Nam,None,Sổ đỏ/ Sổ hồng,12 phòng,None,4 tầng,None,None

58.5 m2,15.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

64 m2,18.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

104 m2,39 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

81.6 m2,37 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

88 m2,24 tỷ,None,None,None,Sổ hồng,None,None,None,None,None

64 m2,18.8 tỷ,None,None,4 m,Sổ đỏ/ Sổ hồng,None,None,4 tầng,None,None

120 m2,20 tỷ,None,None,6 m,Sổ đỏ/ Sổ hồng,6 phòng,None,5 tầng,None,None

60 m2,14.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,4 tầng,None,None

72 m2,20 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

162 m2,17.5 tỷ,None,None,None,None,2 phòng,2 phòng,None,None,"Dự án Horizon, Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh"

138 m2,6.7 tỷ,None,None,None,None,3 phòng,2 phòng,None,None,None

112 m2,38 tỷ,None,None,None,None,None,None,None,None,None

46 m2,8.4 tỷ,None,None,None,None,1 phòng,1 phòng,None,None,None

63 m2,14.5 tỷ,Đông - Bắc,Đông - Bắc,None,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,3 tầng,None,None

340 m2,208 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,2 tầng,None,None

75 m2,40 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,2 tầng,None,None

107 m2,62 tỷ,Đông - Nam,Đông - Nam,7.55 m,Đã có sổ hồng,27 phòng,27 phòng,7 tầng,4 m,None

80 m2,14.5 tỷ,None,None,None,Sổ hồng,None,None,None,None,None

106 m2,36 tỷ,Đông - Bắc,Đông - Bắc,None,Sổ đỏ/ Sổ hồng.,13 phòng,13 phòng,8 tầng,None,None

102 m2,35 tỷ,None,None,5 m,Sổ hồng,6 phòng,6 phòng,5 tầng,8 m,None

57 m2,16.9 tỷ,Đông - Bắc,Đông - Bắc,None,Sổ đỏ/ Sổ hồng.,8 phòng,8 phòng,5 tầng,None,None

40 m2,9.2 tỷ,None,None,None,None,None,None,5 tầng,None,None

72 m2,18.7 tỷ,None,None,4 m,None,None,None,5 tầng,None,None

57 m2,32.8 tỷ,None,None,3.8 m,None,None,None,5 tầng,None,None

189 m2,99 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,3 tầng,None,None

78 m2,31.8 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,3 tầng,None,None

320 m2,184 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

84 m2,27 tỷ,None,None,4.1 m,Có sổ.,None,None,2 tầng,None,"Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh"

32.8 m2,11.2 tỷ,None,None,4.1 m,Có sổ.,None,None,2 tầng,None,None

80 m2,8.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,2 tầng,None,None

92 m2,14.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

84 m2,14 tỷ,None,None,None,None,3 phòng,3 phòng,2 tầng,None,None

29.7 m2,6 tỷ,None,None,3.3 m,None,3 phòng,5 phòng,None,3.5 m,None

60 m2,18 tỷ,None,None,None,None,3 phòng,3 phòng,None,None,None

91 m2,25 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,6 tầng,None,"Phường Tân Định, Quận 1, Hồ Chí Minh"

68 m2,15 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh"

96.6 m2,27 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,4 tầng,None,None

99 m2,42.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

99 m2,42.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

140 m2,71 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

140 m2,32 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,7 tầng,None,"Phường Tân Định, Quận 1, Hồ Chí Minh"

126 m2,45 tỷ,None,None,None,None,None,None,2 tầng,None,None

70.9 m2,27 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

60.5 m2,14.2 tỷ,None,None,None,None,5 phòng,None,5 tầng,None,None

85 m2,18 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,6 phòng,5 phòng,5 tầng,None,None

70 m2,16 tỷ,Đông,Đông,4.7 m,None,17 phòng,17 phòng,7 tầng,20 m,"Đường Đề Thám, Phường Cô Giang, Quận 1, Hồ Chí Minh"

77.4 m2,27.7 tỷ,None,None,None,Có sổ.,5 phòng,3 phòng,2 tầng,None,None

50 m2,6.6 tỷ,Đông - Bắc,Đông - Nam,None,Đang chờ sổ,1 phòng,1 phòng,None,None,None

175 m2,58 tỷ,None,None,None,None,None,None,None,None,"Đường Trần Khánh Dư, Phường Tân Định, Quận 1, Hồ Chí Minh"

175 m2,58 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

20 m2,4.95 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,3 phòng,4 phòng,5 tầng,None,None

237.5 m2,90 tỷ,None,None,None,None,None,None,None,None,"Đường Hàm Nghi, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh"

1069 m2,430 tỷ,None,Đông - Nam,None,Sổ đỏ chính chủ,6 phòng,8 phòng,4 tầng,None,None

225 m2,142 tỷ,Tây - Nam,Đông - Nam,20 m,Sổ đỏ chính chủ.,6 phòng,8 phòng,4 tầng,30 m,None

84 m2,46 tỷ,None,Đông - Nam,None,Sổ đỏ chính chủ,6 phòng,8 phòng,4 tầng,None,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh"

97.6 m2,46 tỷ,None,None,6 m,"Sổ hồng cá nhân, giao dịch công chứng trong ngày.",None,None,None,None,None

68 m2,24 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,5 phòng,5 phòng,4 tầng,6 m,None

72 m2,25.5 tỷ,None,None,8 m,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,3 tầng,8 m,"Đường Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, Hồ Chí Minh"

24 m2,6.3 tỷ,None,None,None,None,None,None,5 tầng,None,None

90 m2,16.5 tỷ,None,None,None,None,None,None,5 tầng,6 m,None

90 m2,16.5 tỷ,None,None,None,None,None,None,5 tầng,6 m,None

139 m2,68.5 tỷ,None,Đông - Nam,None,None,None,None,2 tầng,15 m,None

96 m2,16.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,5 tầng,None,None

165 m2,61 tỷ,None,None,None,None,None,None,None,None,"Phố Phó Đức Chính, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh"

60 m2,15.9 tỷ,None,None,None,None,None,None,4 tầng,12 m,None

80 m2,19.9 tỷ,None,None,4.5 m,Sổ đỏ/ Sổ hồng,None,None,6 tầng,None,None

78 m2,20.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,6 tầng,None,None

81 m2,19.9 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

100 m2,30 tỷ,None,None,None,None,None,None,4 tầng,None,None

60 m2,23 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,2 tầng,None,None

93.6 m2,30 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

78 m2,20.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

84 m2,16.5 tỷ,None,None,None,None,5 phòng,5 phòng,5 tầng,None,None

200 m2,39 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

84 m2,16.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,"Phố Hai Bà Trưng, Phường Tân Định, Quận 1, Hồ Chí Minh"

100.8 m2,24 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,3 tầng,None,None

38.5 m2,7.5 tỷ,None,None,None,Đã có sổ hồng,3 phòng,2 phòng,2 tầng,3 m,None

160 m2,165 tỷ,None,None,None,None,None,None,9 tầng,None,None

76 m2,28.5 tỷ,Nam,Tây,None,None,None,None,3 tầng,20 m,None

160 m2,120 tỷ,None,Đông - Bắc,None,None,None,None,2 tầng,20 m,None

121.9 m2,105 tỷ,Tây - Bắc,Đông - Bắc,7 m,Sổ đỏ/ Sổ hồng,None,None,2 tầng,20 m,"214, Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh"

73.8 m2,50 tỷ,None,Đông - Nam,None,None,None,None,3 tầng,20 m,None

79.99 m2,37.5 tỷ,None,Đông - Bắc,None,None,None,None,5 tầng,20 m,None

114 m2,39.5 tỷ,Đông - Bắc,Tây - Bắc,None,None,15 phòng,15 phòng,6 tầng,10 m,None

115.88 m2,35 tỷ,None,Đông - Bắc,None,None,15 phòng,16 phòng,5 tầng,10 m,None

78.97 m2,37.2 tỷ,None,Đông - Bắc,None,None,None,None,6 tầng,20 m,None

114.4 m2,33 tỷ,None,None,None,None,None,None,7 tầng,None,None

52 m2,11.8 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,3 phòng,3 phòng,2 tầng,None,None

Địa m2,180 tỷ,None,None,None,Sổ hồng.,1 phòng,1 phòng,None,None,"Lancaster Nguyễn Trãi, 230, Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh"

38.8 m2,7.7 tỷ,None,None,3.5 m,Sổ đỏ/ Sổ hồng.,None,None,4 tầng,None,None

96 m2,23 tỷ,None,None,12 m,Sổ đỏ/ Sổ hồng,None,None,None,None,None

60 m2,11.8 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,None,None,None

67.5 m2,17 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,5 tầng,None,None

72.75 m2,17.1 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,5 tầng,None,None

104 m2,23.5 tỷ,None,None,None,None,7 phòng,8 phòng,4 tầng,None,None

51 m2,10 tỷ,None,None,None,Hợp đồng mua bán.,1 phòng,1 phòng,None,None,None

144 m2,96 tỷ,None,None,None,None,2 phòng,None,None,None,"Horizon, 214, Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh"

112 m2,28 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,4 phòng,5 phòng,3 tầng,None,None

105 m2,5 tỷ,Đông - Nam,Đông - Bắc,None,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,None,None,None

71.55 m2,16.5 tỷ,None,Đông - Bắc,None,None,10 phòng,11 phòng,5 tầng,6 m,None

138 m2,6.8 tỷ,None,None,None,None,3 phòng,None,None,None,None

47 m2,5.5 tỷ,Bắc,Nam,None,Sổ đỏ/ Sổ hồng,2 phòng,1 phòng,None,None,None

208 m2,150 tỷ,None,Đông - Bắc,None,None,None,None,3 tầng,25 m,None

80 m2,37.5 tỷ,None,None,4 m,None,None,None,4 tầng,None,None

314.3 m2,120 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,2 tầng,None,"Đường Nguyễn Cảnh Chân, Phường Cầu Kho, Quận 1, Hồ Chí Minh"

120 m2,38 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,None,None,None

68.4 m2,55 tỷ,None,None,None,None,None,None,None,None,"Đường Nam Kỳ Khởi Nghĩa, Phường Bến Nghé, Quận 1, Hồ Chí Minh"

105 m2,5.8 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,None,None,None

101.8 m2,40 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,8 phòng,5 phòng,6 tầng,None,None

74.9 m2,17.3 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,10 phòng,6 phòng,4 tầng,None,None

120 m2,38 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,None,None,None

384 m2,410 tỷ,None,None,None,None,None,None,2 tầng,None,None

52 m2,11.5 tỷ,Đông - Nam,Đông - Nam,None,None,2 phòng,2 phòng,None,None,"Dự án Central Garden, Đường Bến Chương Dương, Phường Cô Giang, Quận 1, Hồ Chí Minh"

63 m2,15.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,5 phòng,4 phòng,4 tầng,None,None

32 m2,12 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,2 tầng,None,None

76 m2,18 tỷ,None,None,None,None,None,None,4 tầng,None,None

51 m2,8.6 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,None,None,"Đường Điện Biên Phủ, Phường Đa Kao, Quận 1, Hồ Chí Minh"

69.7 m2,18 tỷ,None,None,10 m,None,None,None,5 tầng,None,None

32 m2,11.5 tỷ,None,None,None,Có sổ.,None,None,2 tầng,None,None

Địa m2,180 tỷ,None,None,None,None,None,1 phòng,None,None,"Dự án Lancaster Nguyễn Trãi, Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh"

44.8 m2,10.2 tỷ,None,None,None,None,5 phòng,None,None,None,None

44.8 m2,10.2 tỷ,None,None,None,None,5 phòng,None,None,None,None

44.8 m2,10.2 tỷ,None,None,None,None,5 phòng,None,None,None,None

77 m2,43 tỷ,None,None,None,None,None,None,None,None,"Đường Lê Lợi, Phường Bến Thành, Quận 1, Hồ Chí Minh"

430 m2,800 tỷ,None,None,None,None,98 phòng,100 phòng,12 tầng,None,None

225 m2,520 tỷ,None,None,None,None,None,None,None,None,"Đường Nguyễn Du, Phường Bến Nghé, Quận 1, Hồ Chí Minh"

76.5 m2,50 tỷ,None,None,4.2 m,Sổ đỏ/ Sổ hồng,16 phòng,17 phòng,7 tầng,None,None

210 m2,245 tỷ,None,None,None,None,None,None,None,None,"Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh"

77.6 m2,17.8 tỷ,None,None,4.05 m,None,None,None,None,None,None

170 m2,12.9 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

52 m2,8.5 tỷ,None,None,None,None,2 phòng,1 phòng,None,None,None

76 m2,20 tỷ,None,None,None,None,None,None,None,None,None

56.3 m2,10.5 tỷ,None,Tây - Bắc,4.2 m,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,1 tầng,None,None

80 m2,18 tỷ,None,None,None,None,None,None,None,None,None

54 m2,24 tỷ,None,None,None,Hợp đồng mua bán,3 phòng,2 phòng,None,None,"Dự án Vinhomes Golden River Ba Son, Quận 1, Hồ Chí Minh"

64.8 m2,16 tỷ,Đông - Nam,Đông - Nam,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

102 m2,41 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

80 m2,38.5 tỷ,None,None,4 m,None,None,None,5 tầng,20 m,None

79.2 m2,32 tỷ,None,None,4.3 m,Sổ hồng chính chủ.,None,None,6 tầng,None,None

84 m2,22 tỷ,None,None,None,None,None,None,4 tầng,6 m,None

104 m2,38.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

80 m2,20.5 tỷ,None,None,4.2 m,Sổ đỏ/ Sổ hồng,None,None,None,None,None

104 m2,39 tỷ,None,None,None,None,None,None,None,None,"Đường Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, Hồ Chí Minh"

80 m2,37 tỷ,None,None,4 m,None,None,None,7 tầng,20 m,None

106 m2,35 tỷ,None,None,5.5 m,Sổ đỏ/ Sổ hồng,None,None,6 tầng,12 m,None

40 m2,17.5 tỷ,None,None,4 m,None,None,None,5 tầng,12 m,None

40 m2,17.5 tỷ,None,None,None,None,None,None,None,None,"Đường Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, Hồ Chí Minh"

200 m2,78 tỷ,None,None,None,None,1 phòng,1 phòng,1 tầng,None,None

70 m2,19 tỷ,None,Đông - Nam,3 m,None,3 phòng,None,None,None,None

120 m2,38.5 tỷ,None,None,None,Có sổ.,None,None,1 tầng,None,None

80 m2,23.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

105 m2,5.8 tỷ,None,None,None,None,2 phòng,2 phòng,None,None,None

137 m2,7.7 tỷ,None,None,None,None,None,None,None,None,"Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh"

84 m2,28.8 tỷ,None,None,4.18 m,None,None,None,3 tầng,None,None

72 m2,17 tỷ,Tây - Nam,Đông - Bắc,None,None,2 phòng,2 phòng,None,None,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh"

64 m2,25 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

102.5 m2,36 tỷ,None,None,None,None,None,None,5 tầng,None,None

139 m2,65 tỷ,None,None,None,None,None,None,3 tầng,None,None

47 m2,27 tỷ,Đông,None,None,None,3 phòng,None,None,None,"Dự án Horizon, 214 Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh"

72 m2,11.8 tỷ,None,None,None,None,4 phòng,4 phòng,2 tầng,None,None

95 m2,32.5 tỷ,None,None,12 m,None,6 phòng,6 phòng,4 tầng,None,None

52 m2,26.5 tỷ,None,None,3.2 m,Sổ đỏ/ Sổ hồng,4 phòng,None,2 tầng,12 m,None

93 m2,15 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

210 m2,110 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

270 m2,380 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh"

400 m2,780 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,"Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh"

900 m2,600 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

608.4 m2,800 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

900 m2,300 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

176 m2,73 tỷ,None,None,8 m,Sổ đỏ/ Sổ hồng,None,None,None,15 m,None

100 m2,39 tỷ,None,None,8 m,Sổ đỏ/ Sổ hồng,None,None,None,None,None

300 m2,435 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,78 phòng,None,None,None,None

365 m2,310 tỷ,None,None,None,None,None,None,None,None,"Đường Nguyễn Trãi, Quận 1, Hồ Chí Minh"

27 m2,3.6 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,2 phòng,1 phòng,2 tầng,None,None

512 m2,900 tỷ,None,None,None,None,120 phòng,None,None,None,None

176 m2,118 tỷ,None,None,5.7 m,Sổ đỏ/ Sổ hồng,None,None,None,None,None

136.5 m2,67 tỷ,None,None,None,None,None,None,None,None,"Đường Trần Khắc Chân, Phường Tân Định, Quận 1, Hồ Chí Minh"

53 m2,21 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

61.25 m2,21 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

52.5 m2,18.6 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

84 m2,29.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

60 m2,19 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

76 m2,24 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

60 m2,20 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

168 m2,52 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,3 phòng,4 phòng,None,None,None

65 m2,18 tỷ,None,Tây - Nam,None,None,3 phòng,4 phòng,2 tầng,None,None

160 m2,110 tỷ,None,None,None,None,None,None,7 tầng,None,None

32 m2,11.5 tỷ,None,None,None,Có sổ.,None,None,2 tầng,None,None

60 m2,14 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,5 tầng,None,None

42 m2,13 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

80 m2,20 tỷ,Đông - Nam,Đông - Nam,None,Đã có sổ hồng.,26 phòng,26 phòng,9 tầng,None,"Đường Nguyễn An Ninh, Phường Bến Thành, Quận 1, Hồ Chí Minh"

110 m2,29 tỷ,None,None,None,None,3 phòng,3 phòng,None,None,None

110 m2,29 tỷ,None,None,None,None,3 phòng,3 phòng,None,None,None

280 m2,200 tỷ,None,None,None,None,None,None,2 tầng,None,None

64 m2,15.8 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,5 tầng,None,None

123 m2,31 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

120 m2,39 tỷ,None,None,8 m,Sổ đỏ/ Sổ hồng.,None,None,None,None,None

48 m2,14 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,"Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh"

54 m2,19 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

117 m2,25 tỷ,None,None,None,None,3 phòng,2 phòng,None,None,None

145 m2,24.8 tỷ,Đông - Nam,None,None,None,4 phòng,3 phòng,None,None,None

50 m2,10 tỷ,None,None,None,None,1 phòng,1 phòng,None,None,None

50 m2,17 tỷ,Đông - Nam,None,None,None,1 phòng,1 phòng,None,None,None

50 m2,17 tỷ,Đông - Nam,None,None,None,1 phòng,1 phòng,None,None,None

90.5 m2,28.5 tỷ,None,None,4.1 m,Sổ đỏ/ Sổ hồng,1 phòng,1 phòng,1 tầng,20 m,None

